Svevo Valerius Ale;Bari, Italy;Altbier / Sticke Alt;Birrificio Svevo;"Draught at ""Salone della Birra Artigianale 2007"" - Milan. Slightly dark yellow color light and fine fizz. Light and homogenous head of short resistance. Fresh and flowery scent with herbaceous and spiced notes which anise and dried malt. Typical taste, bitterish and slightly smooths down. Modest final body with pleasant alcoholic content."
Hunter Old;Cameron Park (Hunter Valley),NSW, Australia;Brown Ale;Bluetongue Brewery (SABMiller);This one had sat in my pile of beers to taste for far too long, I thought it was going to be terrible so I’d put off opening it for a good 6 months. Shit knows why I felt the need to open it tonight but here goes... Deep clear ruby brown with a small tan head. Strong chocolate aroma, a bit of sweetness, tobacco, smoke and soft yeasty fruits... not particularly complex but pretty bloody solid. Medium body, light roasty bitterness and slight sweetness. Strong mocha flavour, smoke and something like a box of sultanas thats been kicking around in your school lunchbox on the 45degree day. Small roasty finish. This stuff is pretty good, much better (and different) to Tooheys Old.
Hunter Old;Cameron Park (Hunter Valley),NSW, Australia;Brown Ale;Bluetongue Brewery (SABMiller);Bottle (375ml). Poured a opaque with ruby highlights and a thick, creamy, tanned head which was fully lasting. Aroma was of some burnt malts, coffee, light notes of dark chocolate and some nuts in the back. Taste very similar to aroma but a bit thinner with burnt malts, light coffee and nuts towards the end. Medium bodied with a watery texture, soft carbonation and an average dry finish.
Hunter Old;Cameron Park (Hunter Valley),NSW, Australia;Brown Ale;Bluetongue Brewery (SABMiller);A bad version of Tooheys Old. Bland and tasteless with a flat head. Some metallic notes to round out the dullness.
Hunter Old;Cameron Park (Hunter Valley),NSW, Australia;Brown Ale;Bluetongue Brewery (SABMiller);Dark red tinged brown with a hard earned beige froth. Some bready malts with a little bit of roasted malt and a lashing of nuts. Too sweet, and with a milky taste, it doesn’t really sit too well. As has been pointed out, it’s more like a cola, albeit a bit flat. All in all it’s hard to see why anyone would drink this more than once, unless for some silly reason you bought two bottles of the stuff...
Hunter Old;Cameron Park (Hunter Valley),NSW, Australia;Brown Ale;Bluetongue Brewery (SABMiller);Picked up a 6 pack of 37ml bottles at my local Dan Murphy’s. My old man and his mates have been rambling on about how good this beer was in its prime for ages. Reminds me alot, if not too much, of Tooheys old. Cola and some oaky roasted malts on the nose. Pours a deep bronze body with some dense off-white lace. Thin body to it, some metallic bitterness to it. Some roasted malts with some cola sweetness to it finishing with a woody dryness. Nothing special, definately not worth the hype I heard.
Hunter Old;Cameron Park (Hunter Valley),NSW, Australia;Brown Ale;Bluetongue Brewery (SABMiller);Something old, something new, something borrowed, something bleugh... This Old is new and very similar to Tooheys Old, the brewer of which might be flattered at how much this borrows from the original. It’s a while since my last Tooheys Old but my impressions of this are fairly similar to notes about the former. It’s a thin-looking teak-coloured brew with a spare scattering of suds. The aroma has a light roastiness, strong Cola notes, cardboardy malts and a whiff of tramp pants. It’s softly carbonated, verging on flat. Thin fare indeed. Too sweet and Cola-like, with just the faintest roast maltiness. Nasty sour-milk aftertaste. Dry finish. Won’t be trying this again. (375ml bottle from Randwick Village Cellars)
Springhead Liberty;Laneham, Nottinghamshire, England;Blonde Ale / Golden Ale;Springhead Brewery;Cask (handpump) @ GBBF 2010, Great British Beer Festival, Earls Court Exhibition Centre, London, England. Clear light to medium yellow color with a average, frothy, good lacing, mostly diminishing, white to off-white head. Aroma is moderate malty, grain, toasted, light hoppy, citrus. Flavor is moderate sweet and light to moderate bitter with a average duration. Body is medium, texture is oily, carbonation is flat. [20100804]
Springhead Liberty;Laneham, Nottinghamshire, England;Blonde Ale / Golden Ale;Springhead Brewery;"Cask handpump at The Green Dragon, Cambridge. Very pale; hardly any colour in it at all. Big dense head. Slightly vegetable scent with some lime. Lovely smooth mouthfeel with some carbonation. Moderately bitter, some dryness. Light lemon citrus notes in the mouth, and some grapes int here too. Maybe also a hint of yeast. Little aftertaste. A nice light summer beer."
Springhead Liberty;Laneham, Nottinghamshire, England;Blonde Ale / Golden Ale;Springhead Brewery;1. Cask Handpump at the GBBF, Earl’s Court 04/08/2010 Hoppy aroma. Clear golden coloured and hoppy with citrus and lime flavours. A hint of dryness and bitterness in a malt finish. 2. Cask Handpump at the Queens Arms JDW, Winsford 08/09/2010 Hoppy aroma. Clear golden coloured hoppy and a little citrus flavoured with a hint of bitterness in a dry finish.
Springhead Liberty;Laneham, Nottinghamshire, England;Blonde Ale / Golden Ale;Springhead Brewery;Cask@GBBF2010. Golden colour, small white head. Aroma is fruits, wood, spices and some mild nectary and grassy notes. Flavour is quite similar with also some mild herbs and the citrus being more evident.
Springhead Liberty;Laneham, Nottinghamshire, England;Blonde Ale / Golden Ale;Springhead Brewery;Cask. Fruity malt nose, yellow, with a small white head. Flavour is light malt, fruit is subdued. Light bodied, balanced, refreshing. Good.
Springhead Liberty;Laneham, Nottinghamshire, England;Blonde Ale / Golden Ale;Springhead Brewery;Cask @ Three Judges, Glasgow. Clear yellow color, short head. Hoppy, bitter, full bodied, malty. Bitter palate, bit creamy even.
Springhead Liberty;Laneham, Nottinghamshire, England;Blonde Ale / Golden Ale;Springhead Brewery;On cask @ Three Judges, Glasgow. Golden colored brew. Fruity aroma. Flavor is weak, malty, mild bitter, citrus.
Springhead Liberty;Laneham, Nottinghamshire, England;Blonde Ale / Golden Ale;Springhead Brewery;On cask @ Three Judges, Glasgow. The aroma has some grass. Golden coloured beer with a thin, white head. The taste is clean, floral with a dry finish.
Springhead Liberty;Laneham, Nottinghamshire, England;Blonde Ale / Golden Ale;Springhead Brewery;9th April 2009 Vert light ale with just a hint of hop. Refreshing but somewhat insubstantial. Slight sweet finish. 10th September 2010 Hazy pale gold beer. Little white head. Light palate. Low carbonation. Light ornage and lemon citrus. Some dry even malt, dry finish. Inoffensive drinkable beer.
Springhead Liberty;Laneham, Nottinghamshire, England;Blonde Ale / Golden Ale;Springhead Brewery;Cask (handpump) at Penderels Oak (JDW), April 2008. Pale gold colour with a thin white head. Good condition. Not a lot of aroma - just a touch of malt, incongruously a little smoky. Light citrus flavour. Dry aftertaste, light mouthfeel. Clean and crisp. Easy drinking but could use more depth in the flavour department.
Carlyle Juan More;Rockford, Illinois, United States;Pale Lager - North Am. / Light;Carlyle Brewing Company;"Un-Muzzling Olde Muzzlehatch Ratings, #31. Draught pint at the brewpub, late July 2008. Pale gold with a lasting creamy strong snowy head and good lacing...light, pleasing grassy-grainy aroma, not hugely distinctive but fresh and betraying only a little corn presence which is welcome in it’s rather light sweetness... a bit of toasted malt, light spicy hops towards the finish, moderately sweet, clean...very full, moderate and not over-strong carbonation...this is as good as pale lager probably gets, at least in my experience so far, and though my habit is generally to mock the numbers game and pick crappy beers for my ""anniversaries"" here, I’m pleased to note in this case that this, my 200th pale lager, is also my highest rated to date. A new standard has been set."
Carlyle Juan More;Rockford, Illinois, United States;Pale Lager - North Am. / Light;Carlyle Brewing Company;On tap at the brewpub, pours a really pale hazy yellow with a thin head, the aroma is of grass and corn, a little bit of skunk thrown in there as well, the flavor is really light and forgettable, some corn and metallic notes, really only worth the sample, wouldn’t drink a pint of this with the other options available.
Carlyle Juan More;Rockford, Illinois, United States;Pale Lager - North Am. / Light;Carlyle Brewing Company;Draft at carlyle. Pours a clear light gold with a finger of white head. Aroma of corn and grains with a slight herbal hop nose. Taste is light bitter. Herbal and earthy with mostly grains. Light bodied with a thin texture. Lively carbonation and a long finish. Overall, not bad. Refreshing summer brew.
Carlyle Juan More;Rockford, Illinois, United States;Pale Lager - North Am. / Light;Carlyle Brewing Company;On tap at the brewpub on 6/20/07: Pours a clear pale golden with a well-lacing froth of white head. Faint aroma of grainy pale malt and light corn. Body starts with a light malty sweetness and a mild noble bittering hop presence before a thinner, slightly earthy finish. One of the better Mexican-styled lagers I’ve had.
Carlyle Juan More;Rockford, Illinois, United States;Pale Lager - North Am. / Light;Carlyle Brewing Company;"Date: 06/20/2007 Mode: Draft Source: Brewpub clear dark yellow, fine white head, lots of lace, sweet corn aroma, sweet grain flavor with a pleasant grittyness, light balancing bitterness, touch of corn, Aroma: 4/10; Appearance: 6/10; Flavor: 5/10; Palate: 5/10; Overall: 9/20 Rating: 2.4/5.0 Drinkability: 6/10 Score: *+/4"
Carlyle Juan More;Rockford, Illinois, United States;Pale Lager - North Am. / Light;Carlyle Brewing Company;A very nice light lager with yeast from Mexico City. Very refreshing. Brewed annually for Cinco de Mayo.
Carlyle Juan More;Rockford, Illinois, United States;Pale Lager - North Am. / Light;Carlyle Brewing Company;"Sampler. The beer list I brought home doesn’t list this, but as you might guess, it’s a Mexican-style lager. My co-drinker says it reminds him of draft Tecate. I detect a slight Corona style skunk, perhaps intentional. But a good light pils taste. Kind of low on hops, but a lawnmower type with a dry finish. This is what they serve when asked if they have a ""light."""
Carlyle Rauchbier;Rockford, Illinois, United States;Smoked - Rauchbier;Carlyle Brewing Company;On tap at the brewpub on 6/20/07: Transparent dark golden bronze pour has a thin, well-lacing off-white head. Light sweet caramel malty nose has a good earthy smoky presence. Body starts with a nice mouthfeel and sweet toasted caramel malt and a hint of butterscotch. A good and authentic rauchbier that finishes crisp and smoky.
Carlyle Rauchbier;Rockford, Illinois, United States;Smoked - Rauchbier;Carlyle Brewing Company;"Date: 06/20/2007 Mode: Draft Source: Brewpub clear amber, fine white head, drippy lace, smoked wood aroma with a light munich malt backbone, creamy body, smoked flavor with well balanced with the slightly sweet munich malts, the malt is big enough to stand up to the smoke and the smoke is tempered enough to not overwhelm Aroma: 7/10; Appearance: 6/10; Flavor: 7/10; Palate: 8/10; Overall: 14/20 Rating: 3.5/5.0 Drinkability: 8/10 Score: ***/4"
Carlyle Rauchbier;Rockford, Illinois, United States;Smoked - Rauchbier;Carlyle Brewing Company;Nice smoky malt flavor on tap at Carlyle. A pleasant aroma over a brown ale that grows on you the more you drink it.
Carlyle Rauchbier;Rockford, Illinois, United States;Smoked - Rauchbier;Carlyle Brewing Company;"On tap at the brewery. Hazy orange-brown body, thick off-white head. Light smoky, bready, toasty aroma. The smoke notes were relatively subtle in the body, but this beer doesn’t have a compelling malt backbone. So, the smoke is not overpowering, but still dominates the palate. Pretty simple and one-dimensional; not one of my favorites during my visit."
Carlyle Rauchbier;Rockford, Illinois, United States;Smoked - Rauchbier;Carlyle Brewing Company;Sampler. Wow, with this being tasted right after their Scottish Ale, it’s like Smokin’ in the Boys’ Room here. Yes, it’s plenty smoky here, but that’s mostly confined to the malt, leaving the rest of the beer profile to come through. Kind of a brown ale base, I think. Burnt umber color. Mild and restrained for a style that can get kind of bacony.
Red Rock Humber Down Mild;Teignmouth, Devon, England;Mild Ale;Red Rock Brewery (UK);Bottled, 500ml, old unlabelled bottle given to me in Devon, cheers. Chestnut brown with cream head. There are sweet chocolate malts to this, perhaps a tad flat but that's unsurprising. Smooth, nutty flavours, hints of boiled vegetable. It's fine given the provenance.
Red Rock Humber Down Mild;Teignmouth, Devon, England;Mild Ale;Red Rock Brewery (UK);4 pints for 6 pound, bargain. Drank cool but not cold. Muddy brown with a minimal layer of beige suds atop that is fleeting, not much life evident. Aroma of peat, smoke, dusty cocoa, twiggy bark and drift wood, a little sodden earth and fell stone fruit. Thin in body but packed for flavour. A little tickle of carbonation gives it height. Lots of chocolate and smoke on the palate amongst its funky ‘humber’-like nuances. Grape-skin back end, noticeably astringent adds rather than detracts. Swallow is dusty, lots of peat, chocolate and scorched wood. Long linger, a supple sweetness to it otherwise it is dry. This is not bad stuff. Labelled as a Brown Ale, but fitting as a Mild. Love to taste it on cask as I think it would shine a little more than bottle conditioned. (50cL, BBE 01/12, Bridge House Cellars, Exmouth, Devon)
Red Rock Humber Down Mild;Teignmouth, Devon, England;Mild Ale;Red Rock Brewery (UK);Bottle from Whistle Wines, Exeter. Deep brown in colour with hints of red and a tight, creamy off-white head. Rich, malty aroma of caramel with a hint of fruit. Flavours of chocolate and caramel with an ashy, dry finish. Very good.
Red Rock Humber Down Mild;Teignmouth, Devon, England;Mild Ale;Red Rock Brewery (UK);Bottle labeled as a brown ale rather than a mild. Not a lot of body and slightly nutty.Well intentioned but it doesn’t come off.Very disappointing.
Red Rock Humber Down Mild;Teignmouth, Devon, England;Mild Ale;Red Rock Brewery (UK);bottle, labelled Humber Down Brown Ale 3.6%. Hazy brown colour, bubbly head. Medium-bodied, flavours of caramel and toffee, pleasantly hoppy. Lively carbonation.
Red Rock Humber Down Mild;Teignmouth, Devon, England;Mild Ale;Red Rock Brewery (UK);Bottled. A dark brown coloured beer with a nice tight off-white coloured head. The aroma is roasty and smoky and filled with chocolate malt. More choc in the taste. Very full flavoured for its ABV. Malty and bitter also. A very nice recommended beer.
Red Rock Humber Down Mild;Teignmouth, Devon, England;Mild Ale;Red Rock Brewery (UK);Cask gravity @ Reading Beer Festival 2008. Clear light to medium amber brown color with a small to average, frothy, fair lacing, mostly diminishing, off-white to beige head. Aroma is moderate malty, caramel, chocolate. Flavor is moderate sweet and light to moderate bitter with a average to long duration. Body is medium, texture is oily, carbonation is flat. (030508)
Red Rock Humber Down Mild;Teignmouth, Devon, England;Mild Ale;Red Rock Brewery (UK);Bottle at home ... dark brown with a light off white head ... Earthy as fin says, some roast sweet malts in nose ... nice mouth feel ... lot of chocolate and sweet malts ... little smokey ... lots of toffee ... I dont recognise most other people desciption of this beer so ive got to assume its an incosistant beer ... however the one i have is lovely , well balanced and packed full of flavour ...
Red Rock Humber Down Mild;Teignmouth, Devon, England;Mild Ale;Red Rock Brewery (UK);[i] [b] Bottle from the Dodgi’ Deli’ Cowley Road, Oxford [/i] [/b] Pours dark brown with foamy off white head. Aroma bit earthy but also some chocolate (noticed by Loz), taste is slightly sour and if truth be told its ok but very much in the homebrew league, bit caramelly, bit malty bit unimpressive really.
Red Rock Humber Down Mild;Teignmouth, Devon, England;Mild Ale;Red Rock Brewery (UK);Bottle. Smokey charcoal and chocolate aroma. Dark brown with small head. Light smokey chocolate flavor initially - watery finish. Very light flavor and body.
Butlers Bumper;Mapledurham, Oxfordshire, England;Bitter - Premium / Strong / ESB;Butlers Brewery;A Mes rate: Gravicask @ Reading Beer Festival. Dark golden colour. Slight ginger and malt in the nose. Flavour is a little acrid. Slightly unpleasant malt and a harsh hoppy finish. Sorry guys...
Shugborough Lordships Own;Shugborough, Staffordshire, England;Bitter - Premium / Strong / ESB;Shugborough (Titanic);Bottle from Cellar Door, Four Oaks. Pours medium brown, between 1 and 2 finger off white head. Aroma of caramel, malts, toffee, spices. Taste of initial malts, toffee, caramel, then some spice, light smokiness, dark fruits, subtle hops. Well balanced brew, nice bitter finish, highly recommended!
Shugborough Lordships Own;Shugborough, Staffordshire, England;Bitter - Premium / Strong / ESB;Shugborough (Titanic);500ml bottle from Mitchells Wines, Meadowhead - Clear reddy auburn body, pillowy white head, fades a bit quick though. Nose is toffee, caramel, butterscotch, a little spicy. Taste is helped by a nice warming bitterness, the caramel, toffee and spice there again. Medium finish, again warming on the way through. I liked this one quite a bit.
Shugborough Lordships Own;Shugborough, Staffordshire, England;Bitter - Premium / Strong / ESB;Shugborough (Titanic);"50cl bottle from Brown & Green, Trentham. As soon as I started to pour this I knew I was going to enjoy it - the colour is a rich copper with a golden tint and a thin off-white head - the perfect look for an ESB; the aroma is rather subdued, with some hedgerow fruit; in the mouth, it’s full of malty caramel, with a fresh English hop bitterness; and a satisying, full and rich caramel finish. I approve wholeheartedly of his Lordship’s choice."
Shugborough Lordships Own;Shugborough, Staffordshire, England;Bitter - Premium / Strong / ESB;Shugborough (Titanic);Aroma luppolato con una reminescenza di liquirizia. Color rossiccio nel bicchiere. Corpo liscio e beverino. Un qualcosa di dolce che mi ricorda qualcosa ma non so definire (proverò a definirlo la prossima volta che la berrò). Finale mediamente luppolato.
Shugborough Lordships Own;Shugborough, Staffordshire, England;Bitter - Premium / Strong / ESB;Shugborough (Titanic);Third beer in a British Beer Tasting Evening at my place, 8th Jan 2011. The second beer I’ve had from the Shugborough Hall Brewhouse which is used by Titanic on a semi-regular basis to brew different beers than their normal stuff. The beer was poured into an ’Abbot Ale’ glass pint tankard. The beer is a light ruby red/brown colour. A good looking off-white head sat on top and produced some heavy lacing. The smell was all malts, caramel and treacle molasses along with a freshly baked biscuits aroma. The taste was semi-sweet, those biscuity thoughts from the smell are there in the mouth too. A hop bitterness arrives and then retreats as the malts dominate again, so mostly malts in the taste. Full bodied, but just lacks some rich or creaminess to rise it above the rest. I enjoyed it.
Shugborough Lordships Own;Shugborough, Staffordshire, England;Bitter - Premium / Strong / ESB;Shugborough (Titanic);Bottle from Brown and Greens, Trentham. Pours amber with quick fading head. Toffee, hops, slightly over carbonated, but a cracking bottled ale.
Shugborough Lordships Own;Shugborough, Staffordshire, England;Bitter - Premium / Strong / ESB;Shugborough (Titanic);ambrata buona schiuma persitenza diacetile presenza corpo medio note caramellato mallto lievemente tostato discreto luppolo un po pepato
Shugborough Lordships Own;Shugborough, Staffordshire, England;Bitter - Premium / Strong / ESB;Shugborough (Titanic);Bottle conditioned from Favourite Beers, Cheltenham. Brown with slight head. Malty and quite nutty body, there is a malty sweetness, then just a hint of leafy hop. Doesn’t quite hit any heights but ok.
Shugborough Lordships Own;Shugborough, Staffordshire, England;Bitter - Premium / Strong / ESB;Shugborough (Titanic);4th January 2009 BBE 27.2.08 bottle that has been stored cool and dark. Clear red - brown beer. Malty with an undercurrant of red fruit. Dry finish but not bitter. Low carbonation. Alright.
Shugborough Lordships Own;Shugborough, Staffordshire, England;Bitter - Premium / Strong / ESB;Shugborough (Titanic);Cask (handpump) @ The KIT (Kelham Island Tavern), 62 Russell Street, Sheffield, South Yorkshire, England S3 8RW. Clear light to medium yellow orange color with a average, fizzy, good lacing, mostly lasting, white head. Aroma is moderate malty, toasted, smoke - peat, overriped fruity, light to moderate hoppy, citrus. Flavor is moderate sweet and moderate to light heavy citrus shell bitter with a average to long duration. Body is medium, texture is oily to watery, carbonation is soft to flat. [20090417]
Loddon Whitemans Dirty Habit;Dunsden, Oxfordshire, England;Brown Ale;Loddon Brewery;A Mes rate: Gravicask @ Reading Beer Festival. Hazy gold amber appearance. Ginger spice aroma with some orange cake. Flavour is totally off the wall. One of the strangest beers I have tasted. Germoline, plenty of spicy notes from the coriander and obvious ginger. Something distinctly medicine like also. A very very odd beer with the character of a witbier mixed with a very spicy ale. It’s bonkers. Please let there be someone else on here who has tried this...
Bullmastiff Old Snarler;Leckwith, Wales;Bitter - Premium / Strong / ESB;Bullmastiff Brewery;Cask ale, half at Bank Statement (JDW). Good looking in the glass with a covering beige head blanketing the glass. Clear mahogany coloured body. Malt-driven smell of earthy malts, hints of dried fruits, Mixed taste of stewed fruits and mid-sweet malts with a chocolate touch. Ends malty and semi sweet. Pretty alright. (Swansea 01.10.2018).
Bullmastiff Old Snarler;Leckwith, Wales;Bitter - Premium / Strong / ESB;Bullmastiff Brewery;Fra cask på Bank Statement JDW, Swansea. Dyp rødbrun. Lavt skum. Tynn teppelacing. Aroma av nøtter & sherry. Smaken kirsebær. Myk munnfølelse. Tørr portvinsaktig avslutning.
Bullmastiff Old Snarler;Leckwith, Wales;Bitter - Premium / Strong / ESB;Bullmastiff Brewery;Fresh aroma. Medium brown colour. Fairly reddish. Hardly any head. Fruity, hoppy taste with a pleasant aftertaste. ---Rated via Beer Buddy for iPhone
Bullmastiff Old Snarler;Leckwith, Wales;Bitter - Premium / Strong / ESB;Bullmastiff Brewery;Very malty nose, not always pleasant, but much less so in its taste. Medium bodied.
Bullmastiff Old Snarler;Leckwith, Wales;Bitter - Premium / Strong / ESB;Bullmastiff Brewery;(cask) pours a clear copper colour with a ruby tinge and a frothy beige head. aroma of dried fruit and brown sugar, quite sweet and slightly sour, with hints of biscuits and ginger. flavour is dominated by dried fruit, very sweet, with notes of tobacco and ligonberries and a light herbal-hoppy finish. medium-bodied with soft carbonation.
Bullmastiff Old Snarler;Leckwith, Wales;Bitter - Premium / Strong / ESB;Bullmastiff Brewery;Cask Handpump at the Ship & Mitre, Liverpool 27/04/2007 Amber coloured and slightly rich on the palate with some alcohol present. A little bitterness in a crisp and floral full malt finish.
Bullmastiff Old Snarler;Leckwith, Wales;Bitter - Premium / Strong / ESB;Bullmastiff Brewery;A Mes rate: Gravicask @ Reading Beer Festival. Sorry guys but this was plain awful. One of my least favourite beers of the whole festival. Eggy and sulphuric aroma. Nice amber colour. Tea and unbrewed malt in the flavour. Slightly strange palate. I hate slating something on a first rate but it just didnt work for me.
33 Extra Dry;Tunis, Tunisia;Pale Lager - Strong;Société Frigorifique et Brasserie de Tunis (SFBT);Puszka 240ml, zakupiona w Magasin Général Kantaoui. Naprawdę okrutnie alkoholowy lubieżnik.
33 Extra Dry;Tunis, Tunisia;Pale Lager - Strong;Société Frigorifique et Brasserie de Tunis (SFBT);240ml can (thanks Juks). Clear golden color. Small size, white head, stays. Poop, glue, sweet, starch in aroma. Sweet, corny, dusty, poop in taste. Nope.
33 Extra Dry;Tunis, Tunisia;Pale Lager - Strong;Société Frigorifique et Brasserie de Tunis (SFBT);240ml can, 7%. Pours clear golden colour, small white fizzy head. Aroma is corny, cardboard, grainy. Taste is malty, grainy, sweet, corny. Light body, fizzy carbonation. Poor brew.
33 Extra Dry;Tunis, Tunisia;Pale Lager - Strong;Société Frigorifique et Brasserie de Tunis (SFBT);Can pours a clear gold color with a soft white head. Aroma is sweet malt and perfume. Taste is a sweet malt that ends very dry and almost bitter. Palate is almost smooth. Not terrible but nothing to write home about either. Alcohol content is way too high for a Pils.
33 Extra Dry;Tunis, Tunisia;Pale Lager - Strong;Société Frigorifique et Brasserie de Tunis (SFBT);Puszka wypite w Tunezji w 2011r. Kolor jasnosłomkowy, piana szybko znika. Aromat słodowy, wytrawny. Smak słodki, lekko pikantny. Goryczka słaba.Ogólnie wytrawne.
33 Extra Dry;Tunis, Tunisia;Pale Lager - Strong;Société Frigorifique et Brasserie de Tunis (SFBT);a bit of peppry hop with an ivy finish. some sweetness and oil can as well also a bit of fishbowl in there. light body and a slight harshness to the carbonation. a bit of sugar as well as a pharmaceutical tang to it.
33 Extra Dry;Tunis, Tunisia;Pale Lager - Strong;Société Frigorifique et Brasserie de Tunis (SFBT);smells like grandma... it reminds me of the super bock ( portugal) but than less intense ( thank god) looks yellow, no real foam. in fact, wait 5 seconds and it looks like a lager that stood for an hour or so. chugget it, though i’m not a fan of chugging things, i just figured out, that way the torture would have been less long. no real taste in the mouth ( yay it worked ? ) but a pure chemical, filthy, bitter aftertaste witch makes you think, has this beer been drank before and than canned again ??? the filthy tastes stays too long, too...
33 Extra Dry;Tunis, Tunisia;Pale Lager - Strong;Société Frigorifique et Brasserie de Tunis (SFBT);Vreemde Red Bull / Energiedrank stijl blik - 240 ml. van de enige (?) Tunesische brouwerij - mogelijk om dronkenschap onmogelijk te maken? - jij kan wel grote flessen wijn kopen maar niemand drink wijn om dronken te worden :) - bedankt aan mijn moeder voor het blik - helder, licht maar niet te licht gouden, witte chemische kraag - walgelijke mais geur, chemische, zoete rottende bladeren, chemische honing - smaakt naar graan, mais extract, zoetstof, chemische bitterheid die gewoon blijft gaan, extracten, synthetische honing,... eigenlijk best wel erg, ik wou dat dit skunked was dat is op zijn minst minder erg - kleverige, walgelijke synthetische mondgevoel, niet bepaald goed en dit is het beste dat Tunesische bier?
33 Extra Dry;Tunis, Tunisia;Pale Lager - Strong;Société Frigorifique et Brasserie de Tunis (SFBT);Herb-malziger Antrunk, dabei scheint mir, als läge eine leichte Honignote im Hintergrund. Der Mitteloteil ist würziger, nicht lasch oder wässrig. Dabei wird das Bier süßer, die Würzigkeit bleibt auf selbem Level, im Hintergrund ist hier eine malzige Herbe, die nach und nach mehr in den Vordergrund rückt. Erfrischend, etwas malzig. Das Bier geht in Ordnung und ist Celtia aus der Flasche vorzuzziehen. Test vom 21.7.2007, Gebinde: Dose Noten: 8,9,9,9,5,9
33 Extra Dry;Tunis, Tunisia;Pale Lager - Strong;Société Frigorifique et Brasserie de Tunis (SFBT);Can 240ml. @ home. [ Trade by HenrikSoegaard ]. Clear medium yellow color with a average, frothy, good lacing, mostly lasting, off-white to white head. Aroma is light moderate malty, grain, toasted, vegetables, vitamin pill - fruity. Flavor is moderate to heavy sweet with a average duration, vitamin pill, fruity sweet malt. Body is light to medium, texture is watery, carbonation is soft. [20110204]
Søgaards Barley Wine;Aalborg, Denmark;BarleyWine / WheatWine / RyeWine;Søgaards Bryghus;Bottle @ home w friends/the chef. Appearance: pours clear red-brown with low to ok beige soapy head and lacing. aroma/taste: barley, caramel, light smoke and fruity notes. palette: medium sweet malty aroma, average carbonation, medium body, medium to distinct sweetness, somewhat balanced by a medium bitterness, average duration and an oily texture. Overall: decent barley wine, but nothing special
Søgaards Barley Wine;Aalborg, Denmark;BarleyWine / WheatWine / RyeWine;Søgaards Bryghus;Small pale brown head. Fruity malty syrupy aroma, quite faint, with roasty alcoholic notes. Sweet roasty malty syrupy taste with vanilla and chocolate notes. Full-bodied. Slightly sharp mouthfeel. Dryish alcoholic vanilla aftertaste with roasty wild berry notes. Interesting and complex, as well as surprisingly subtle. (0.5l bottle, from Salling, Aalborg.)
Søgaards Barley Wine;Aalborg, Denmark;BarleyWine / WheatWine / RyeWine;Søgaards Bryghus;"courtesy of Antonio Rey - hazy dark brown beer with a poor head retention; aroma of caramel, marzipan and plums; hints of soja sauce; full-bodied, very umami and sweet, gently sticky, a long caramelish aftertaste with notes of apples, plums and more soja sauce - not fully convincing"
Søgaards Barley Wine;Aalborg, Denmark;BarleyWine / WheatWine / RyeWine;Søgaards Bryghus;Appearance: Cloudy brown color with a white layer on top. Some lace. Aroma: Bready, malty and fruity. Palate: Medium + body. Tad sweet and a moderate bitterness. Average to soft carbonation. Oily texture Taste: Bready, mild grassy, fruity and malty. Well masked alcohol. Overall impression: Not my cup of barley wine. Personal stats: Bottle from Kolding Vinhandel in Kolding, Denmark.
Søgaards Barley Wine;Aalborg, Denmark;BarleyWine / WheatWine / RyeWine;Søgaards Bryghus;Brun öl med beige skum. Doft som påminner om lagrad rom. En hel del alkohol men framförallt russin och torkad frukt, malt, trä och läder. Trä, läder, russin, viss kryddighet och alkoholsötma.
Søgaards Barley Wine;Aalborg, Denmark;BarleyWine / WheatWine / RyeWine;Søgaards Bryghus;Bottle. Dark brown with a small head. Very sweet with malt, dried fruit, some wood, butter, toffee and some notes of alcohol. Drinkable but nothing special.
Søgaards Barley Wine;Aalborg, Denmark;BarleyWine / WheatWine / RyeWine;Søgaards Bryghus;@basunen: ganska söt doft. Inte någon större smak. Gabska lätt smörton. Annars igen ---Rated via Beer Buddy for iPhone
Søgaards Barley Wine;Aalborg, Denmark;BarleyWine / WheatWine / RyeWine;Søgaards Bryghus;Mørkebrun farve. Sjov nøddeagtig smag. Speciel eftersmag lidt hengemt kælder. ---Rated via Beer Buddy for iPhone
Søgaards Barley Wine;Aalborg, Denmark;BarleyWine / WheatWine / RyeWine;Søgaards Bryghus;191112: Unclear brown with an ok brown foam. Vinous aroma. Sweet malty flavor of prunes and alcohol.
Søgaards Barley Wine;Aalborg, Denmark;BarleyWine / WheatWine / RyeWine;Søgaards Bryghus;nice light port aroma,dark orange, off white foam, light sweetness, lightly bitter, medium body, oily feel, soft carbonation, lively, light bitter, long finish,
Søgaards US Pale Ale;Aalborg, Denmark;Pale Ale - American / APA;Søgaards Bryghus;Godt nok en mild og svag udgave af en amerikansk pale ale. Minder mest om en pilsner med humlesmag tilført.
Søgaards US Pale Ale;Aalborg, Denmark;Pale Ale - American / APA;Søgaards Bryghus;En typisk øl efter amerikansk forbillede. En meget humlet øl, så man er tør langt nede i halsen. Cascadehumle når det er bedst. Der er en let sødme og citrusagtigt i den også. Den blev faktisk lidt ofr meget i de sidste par slurke. God øl!
